get bored of	~에 싫증나다
get sick of	~에 싫증나다
nerve cell	신경 세포
excitation	자극
so that	~하기 위해서
in order that	~하기 위해서
firefly	반딧불이
lightning bug	반딧불이
slavery	노예제도
enslave	노예로 만들다
runaway	도망자
fairness	평등
autobiography	자서전
civic	도시의, 시민의
transplantation	이식
under consideration	고려 중인
under deliberation	고려 중인
burial	매장, 장례식
insecurity	불안
distance	거리를 두다
for quite some time	오랫동안
sooner than later	조만간
reversing glasses	반전 안경
upside down	거꾸로
inverted	거꾸로
those who	~하는 사람들
crucially	결정적으로
fade away	(점차) 사라지다
insurer	보험사
trust in	의존하다
red ink	손실, 적자
ahead	미리
de-aging	노화 완화
specifically	구체적으로, 명확하게
modernize	현대화하다
be known for	~로 유명하다
keep pace with	따라가다
genetics	유전적 특징, 유전학
chances	확률, 가능성
in a real sense	실제로
no matter how	아무리 ~이더라도
ocean	바다
bucket	양동이
far­reaching	광범위한
diligence	근면
continuously	끊임없이
center	집중하다
luring	유혹하는
secondary school	중등학교
mathematics	수학
all through	내내
all over	내내
delightful	즐거운
enjoyable	즐거운
empowerment	권한
satisfying	만족감을 주는
fulfilling	만족감을 주는
workplace	업무 현장, 직장
adapted	맞추어진, 적응된
adjusted	맞추어진
modified	맞추어진
allow for	가능하게 하다, 허락하다
polar	극과 극의
contrasting	극과 극의, 대조되는
frustrate	좌절시키다
living being	생명체
immobile	움직이지 않는
respectable	존경할 만한
make it a point to	반드시 ~하도록 하다
make it a rule to	반드시 ~하도록 하다
keep A from~	A가 ~를 못하게 하다
deter A from~	A가 ~를 못하게 하다
speak up	자유롭게 의견을 내다
get aired	공공연히 알려지다
if anything	오히려
pro-dissent	반대에 찬성하는
nonprofit	비영리인
traits	특징
attributes	특징
sleepiness	졸음
drowsiness	졸음
apt	적절한
obtainable	구할 수 있는
near	다가가다
hurry out	서둘러 나오다
map	(지도에) 구획하다
mistranslation	오역
specialty	특화된 분야
rescue	구조하다
cub	새끼
cloud	(판단력 등을) 흐리게 하다
negativity	부정성
deserving	받을 만한
translatable	번역할 수 있는
spin	짜다(과거형 spun)
gain access to	~에 접근하다
apply to	~에 지원하다
not sleep a wink	한숨도 못자다
constructive	건설적인
untidy	무질서한
tidying expert	정리 전문가
neatly	깔끔하게
monoculture	단일 작물, 단일 경작
excite	(반응을) 일으키다
be loaded with	~로 가득차다
owe A to B	A는 B 덕분이다
make cuts	멈추다, 삭감하다
challenges	고난
obstacles	고난
voter	유권자
coin the term	어구를 만들다
astrophysicist	천체 물리학자
propulsion	추진(력)
dust off	오랜만에 꺼내다
hunter­gatherer	수렵 채집인
relics	유적
attainable	구할 수 있는
delayed	지연된
postponed	지연된
deferred	지연된
prematurely	초기에
costs	댓가, 비용
expenses	댓가, 비용
well-documented	잘 기록되어있는
well-recorded	잘 기록되어있는
by coincidence	공교롭게도
accidently	우연히
room operators	관제실 운영자
stock traders	주식 거래자
reshape	재구조화
focused attention	주의 집중
sharp	예리한
enlargement	확장
