double back	굽어지다, 되돌아가다
lane	(좁은) 길, 차선
in proximity of	~의 부근에
converse with	~와 대화를 나누다
company	동행, 동료
be fascinated	매료되다, 매혹되다
turn inside out	뒤집어놓다
Cubism	입체파, 큐비즘
insightful	통찰력 있는
allocate	할당하다, 배당하다
effortful	수고스러운
undemanding	힘들지 않은
compute	계산하다
dissuasive	만류하는, 말리는
tribe	무리, 종족
hand in hand	함께, 밀접히 연관된
synthetic	종합적인, 합성의
voting	투표
civilian	민간인
astronomy	천문학
