this(that) is why	그래서, 그러므로
be likely to	~할 가능성이 있다 / ~할 가능성이 있는
be apt to	~할 가능성이 있다 / ~할 가능성이 있는
be liable to	~할 가능성이 있다 / ~할 가능성이 있는
get along	어울리다, 잘 지내다
humid	습한
pitch	경기장, 던지다, 음높이
linguist	언어학자
revolutionary	획기적인
noteworthy	주목할 만한
as is true of	~가 그러하듯이
specialized	특화된
cell	세포
observations	관찰
pessimism	비관주의
constructively	건설적으로
friction	갈등, 마찰
concord	일치, 화합
obsessed	집착하는
decision-making	의사결정
refine	정제하다, 개선하다
triangle	삼각형
rectangle	직사각형
pentagon	5각형
hexagon	6각형
octagon	8각형
pick up	포착하다
a study set	서재용 가구
cognitively	인지적으로
consciously	의식적으로
disturb	방해하다
instinctively	본능적으로
be set in motion	활기를 띠다
parachute	낙하산
ordeal	시련
take ~ for granted	~을 당연하게 여기다
board member	이사
pass along	전달하다
make happen	실현하다
make one's way to	~로 나아가다
attentive	주의 깊은
attendant	종업원, 수행원
ring hollow	공허하게 들리다
unfilled	텅 빈
compulsion	충동
rude	무례한
arrogant	무례한, 거만한
abstraction	추상화, 추상적 개념
represent	나타내다, 대표하다
uproot	뿌리째 뽑다
eradicate	뿌리뽑다, 근절시키다
derive from	~에서 유래하다
disillusioned	실망한, 환멸을 느낀
error-prone	오류가 생기기 쉬운
overconfidence	과신
take note of	~에 주목하다
tourist attraction	관광 명소
turn out to be	판가름이 나다
narrative structures	서술구조
Mediterranean	지중해의
easterly	동쪽으로 향하는
acorn	도토리
radical change	근본적 변화, 큰 변화
whereby	그것에 의하여 ~하는
self-driven	자기 주도적인
peer-oriented	동료 지향적인
spouse	배우자
mate	배우자
striving	노력, 분투
thump	(세게)두드리다
quite a few	상당수
not a few	상당수
a good few	상당수
inadequate	불충분한, 부적당한
departmental	부서의
studious	학구적인
