as a consequence	그 결과, 따라서
for this reason	그 결과, 따라서
thus	그 결과, 따라서
therefore	그러므로
for instance	예를 들어
above all	무엇보다도
to begin with	우선
what is more	게다가
in addition	게다가
instead	대신에
on the other hand	반면에
in a word	한마디로 하자면
in short	간단히 말해서
in brief	간단히 말해서
to put it simply	간단히 말해서
at first	처음에는
citizen	시민
necessities	생필품
donate	기부하다
donation	기부(물품)
canned goods	통조림 제품
blanket	담요
light-lit-lit	불 붙다, 불붙이다
be certain	확신하는
certain +명사	어떤
rat	쥐
flame	불꽃, 화염
creep	기어가다
shapeless	형체가 없는
make faces	찡그리다
rely on	~에 의존하다
silky	비단 같은
unzip	지퍼를 열다
athletic	운동을 좋아하는
indoors	실내에서
domestic	국내의, 집안의
shy	수줍음을 타는
timid	겁이 많은, 소심한
dress up	(옷을) 차려입다
exhibit	나타내다, 보여주다 / 전시하다
quiet	조용한
mute	조용한
imperfection	결점
rain forest	열대우림
recyclable	재생 가능한
drought	가뭄
whole	전부의, 모든
complete	전부의, 완전한 / 완결하다, 완수하다
drown	(물에) 잠기게 하다
immerse	담그다, 몰입하게 하다
effect	영향, 효과, 결과
downstream	하류의, 하류에
wash away	~을 유실되게 하다
riverbank	강기슭, 강둑
bottom	(밑)바닥, 하부
deserve	~할 가치가 있다 / ~을 받을 자격이 있다
salmon	연어
travel	나아가다, 여행하다
lay an egg	알을 낳다
spawn	알을 낳다
prevent	막다, 차단하다
bar	막다, 차단하다
power plant	발전소
popularity	인기
protect	보호하다 / 지키다, 방어하다
shield	보호하다 / 지키다, 방어하다
option	선택권, 선택의 자유
decision	결정
exclusive	독점적인, 배타적인
bake	굽다
roast	굽다
reasonable	적당한, 합리적인 / 이성적인, 합리적인
sensible	합리적인, 분별력있는
rational	합리적인, 이성적인 / 이성적인, 합리적인
be through	끝내다, 마치다
get~done	마치다
bring~to an end	마치다
platter	큰 접시
properly	제대로, 올바르게
correctly	제대로, 올바르게
rightly	제대로, 올바르게
splendid	훌륭한
self-confidence	자신감
self-control	자기통제
sauce	반찬, 양념
manners	예절, 예의
in a manner	~방식으로
in (a) fashion	~방식으로
independence	독립심, 자립정신
tourism	관광, 관광 사업
ecotourism	생태관광
billion	10억
million	백만
trillion	1조(엄청난 양)
zillion	무수한
twice	두 배
seasonal	제철의, 계절의
delicious	맛있는, 맛좋은
tasty	맛있는, 맛좋은
yummy	맛있는, 맛좋은
flavorful	맛있는, 맛좋은
dish	요리, 음식
sign up	등록하다, 신청하다
attender	참가자
in advance	미리, 사전에
ahead of time	미리, 사전에
sample	시식하다, 시음하다
elementary school	초등학교
primary school	초등학교
preschool	유치원
kindergarten	유치원
soft drink	청량음료
unavailable	손에 넣을수 없는
slice	(잘라 놓은) 조각
pillow	베개
comfortable	편안한
flutist	플루트 연주자
composer	작곡가
orphan	고아로 만들다; 고아
take care of	돌보다
look after	돌보다
skilled	능숙한
tour	순회공연
perform	공연하다, 수행하다
minority	소수, 미성년기
pocket money	용돈
trial and error	시행착오
cope with	처리하다, 다루다 / ~에 대처하다
handle	처리하다, 다루다
early on	이른 시기에
manage to~	겨우 해내다
situational	상황적인, 상황의
the here and now	현 시점, 현재
bind	연결하다, 묶다
link to	연결하다, 묶다
knot	묶다
fasten	묶다
originate from	~에서 유래되다 / ~에서 비롯되다
stem from	~에서 유래되다
arise from	~에서 유래되다
move away from	~에서 벗어나다
break away from	~에서 벗어나다
take hold of	~을 제어하다
counselor	상담원
client	의뢰인, 고객
customer	손님, 고객 / 고객
annoy	짜증나게 하다
geographically	지리적으로
split	떼어놓다, 분리하다
